юбил`ею Алекс`ея	Росс`ийская госуд`арственная библиот`ека посвящ`ает сво`ю в`ыставку юбил`ею 
рассл`едованию прич`ин	Что же кас`ается нед`авнего круш`ения вертолёта Ми 8 в Ингушетии то по предвар`ительному в`ыводу ком`иссии по рассл`едованию 
прич`ин ав`арии	Что же кас`ается нед`авнего круш`ения вертолёта Ми 8 в Ингушетии то по предвар`ительному в`ыводу ком`иссии по рассл`едованию прич`ин 
ош`ибка пил`ота	Что же кас`ается нед`авнего круш`ения вертолёта Ми 8 в Ингушетии то по предвар`ительному в`ыводу ком`иссии по рассл`едованию прич`ин ав`арии прич`иной `этому ст`ала ош`ибка 
войск МВД	Об `этом не пр`ошлой нед`еле сообщ`ил журнал`истам главк`ом Вн`утренних войск 
рассл`едование прич`ин	По ег`о слов`ам рассл`едование 
прич`ин катастр`офы	По ег`о слов`ам рассл`едование прич`ин 
катастр`офы вертолёта	По ег`о слов`ам рассл`едование прич`ин катастр`офы 
МВД РФ	Нап`омним связь с вертолётом Ми 8 принадлеж`ащим МВД 
аэроп`орта Гр`озного	Нап`омним связь с вертолётом Ми 8 принадлеж`ащим МВД РФ кот`орый в`ылетел из аэроп`орта 
ф`акту катастр`офы	По ф`акту 
катастр`офы вертолёта	По ф`акту катастр`офы 
УК Росс`ии	По ф`акту катастр`офы вертолёта Ми 8 возбужден`о угол`овное д`ело по ст 351 УК 
наруш`ение пр`авил	По ф`акту катастр`офы вертолёта Ми 8 возбужден`о угол`овное д`ело по ст 351 УК Росс`ии наруш`ение 
пр`авил полётов	По ф`акту катастр`офы вертолёта Ми 8 возбужден`о угол`овное д`ело по ст 351 УК Росс`ии наруш`ение пр`авил 
смерть челов`ека	По ф`акту катастр`офы вертолёта Ми 8 возбужден`о угол`овное д`ело по ст 351 УК Росс`ии наруш`ение пр`авил полётов `или подгот`овки к ним повлёкшее по неостор`ожности смерть 
мощь КНР	К 2040 г эконом`ическая мощь 
Экон`омика Кит`ая	Экон`омика 
мн`ению изд`ания	По мн`ению 
насел`ение Кит`ая	На сег`одняшний день насел`ение 
млрд челов`ек	На сег`одняшний день насел`ение Кит`ая превыш`ает 1 млрд 
рост ВВП	На сег`одняшний день насел`ение Кит`ая превыш`ает 1 млрд челов`ек рост 
кол`ичестве н`ефти	Раст`ущая кит`айская экон`омика нужд`ается всё в б`ольшем и б`ольшем кол`ичестве 
р`осту цен	Раст`ущая кит`айская экон`омика нужд`ается всё в б`ольшем и б`ольшем кол`ичестве н`ефти что прив`одит к р`осту 
мн`ение замминистра	Guardian ссыл`аясь на мн`ение 
замминистра обор`оны	Guardian ссыл`аясь на мн`ение замминистра 
обор`оны США	Guardian ссыл`аясь на мн`ение замминистра обор`оны 
Кит`ай нач`ала	Guardian ссыл`аясь на мн`ение замминистра обор`оны США П Вулфовица ср`авнивает Кит`ай 
Посл`едствием `этого	Посл`едствием 
Стремл`ение США	Стремл`ение 
подд`ержка незав`исимости	Стремл`ение США окруж`ить Кит`ай во`енными б`азами подд`ержка 
незав`исимости Тайваня	Стремл`ение США окруж`ить Кит`ай во`енными б`азами подд`ержка незав`исимости 
рост м`ощи	Несмотр`я на заявл`ения кит`айских власт`ей о том что рост 
м`ощи КНР	Несмотр`я на заявл`ения кит`айских власт`ей о том что рост м`ощи 
сист`ему безоп`асности	Несмотр`я на заявл`ения кит`айских власт`ей о том что рост м`ощи КНР не угрож`ает друг`им стр`анам Кит`ай б`удет стр`оить регион`альную сист`ему 
пут`и созд`ания	Несмотр`я на заявл`ения кит`айских власт`ей о том что рост м`ощи КНР не угрож`ает друг`им стр`анам Кит`ай б`удет стр`оить регион`альную сист`ему безоп`асности и скор`ее всег`о пойдёт по пут`и 
уч`астие КНР	Акт`ивное уч`астие 
жел`ании Пекина	Акт`ивное уч`астие КНР в урегул`ировании северокорейского кр`изиса говор`ит о жел`ании 
вли`яние США	Кит`ай сег`одня м`ожет оказ`ать и серьёзное эконом`ическое вли`яние 
вли`яние КНДР	Фин`ансовые анал`итики ср`авнивают вли`яние 
ст`епень разв`ития	Два соверш`енно р`азных соб`ытия в один`аковой ст`епени б`удут отраж`ать высоч`айшую ст`епень 
разв`ития `этого	Два соверш`енно р`азных соб`ытия в один`аковой ст`епени б`удут отраж`ать высоч`айшую ст`епень разв`ития 
`этого госуд`арства	Два соверш`енно р`азных соб`ытия в один`аковой ст`епени б`удут отраж`ать высоч`айшую ст`епень разв`ития `этого 
